Call No,Date,Time,Equipment,Problem Description,Attended By,Time to Resolve (hrs),Status,Remarks,shift,sheet_name,machine
N26-003,2025-05-08,23:15,Pump-2,Water leakage in cooling system,S. Kumar,0.9,Closed,Spare part ordered — pending,Night,Compressor-1,Compressor-1
N26-004,2025-05-30,19:45,Gearbox,Drive belt worn — replacement needed,K. Yadav,4.1,Open,Root cause: wear and tear,Night,Compressor-1,Compressor-1
N26-005,2025-05-19,23:45,PLC-Panel,Vibration high on spindle motor,M. Singh,4.5,Closed,Preventive maintenance scheduled,Night,Compressor-1,Compressor-1
N26-006,2025-05-02,21:45,Conveyor-Drive,Encoder signal lost on servo axis,R. Sharma,1.2,Closed,Escalated to OEM,Night,Compressor-1,Compressor-1
N26-007,2025-05-04,21:30,Conveyor-Drive,Vibration high on spindle motor,K. Yadav,6.5,Closed,Resolved by operator adjustment,Night,Compressor-1,Compressor-1
N26-008,2025-05-17,23:15,Pump-2,Encoder signal lost on servo axis,S. Kumar,5.6,Open,Escalated to OEM,Night,Compressor-1,Compressor-1
N26-009,2025-05-14,18:00,Motor-B,Hydraulic leak in main cylinder,D. Mehta,1.2,Closed,,Night,Compressor-1,Compressor-1
N26-010,2025-05-20,19:30,Cylinder-Main,Weld seam out of tolerance,R. Sharma,0.7,Closed,Root cause: wear and tear,Night,Compressor-1,Compressor-1
N26-011,2025-05-12,23:00,Motor-B,Conveyor belt slip / misalignment,N. Das,1.5,Closed,Temporary fix applied,Night,Compressor-1,Compressor-1
N26-012,2025-05-03,18:15,Cylinder-Main,Oil contamination in gearbox,V. Joshi,5.5,Closed,,Night,Compressor-1,Compressor-1
D27-001,2025-05-02,10:45,Conveyor-Drive,Vibration high on spindle motor,M. Singh,6.4,Closed,Repaired and tested OK,Day,Compressor-2,Compressor-2
D27-002,2025-05-19,12:30,Motor-A,Vibration high on spindle motor,K. Yadav,1.8,Closed,Root cause: wear and tear,Day,Compressor-2,Compressor-2
D27-003,2025-05-12,12:15,PLC-Panel,PLC fault code F-204 — sensor error,M. Singh,4.6,Closed,Spare part ordered — pending,Day,Compressor-2,Compressor-2
D27-004,2025-05-02,13:30,Motor-B,Motor overheating — bearing failure,P. Gupta,1.0,Closed,,Day,Compressor-2,Compressor-2
D27-005,2025-05-31,13:15,Motor-A,Motor overheating — bearing failure,D. Mehta,2.5,Closed,Resolved by operator adjustment,Day,Compressor-2,Compressor-2
D27-006,2025-05-13,06:45,PLC-Panel,Pipe OD out of spec — forming issue,D. Mehta,6.8,Open,Spare part ordered — pending,Day,Compressor-2,Compressor-2
D27-007,2025-05-14,09:00,Gearbox,Electrical trip — overload relay,V. Joshi,1.4,Closed,Escalated to OEM,Day,Compressor-2,Compressor-2
D27-008,2025-05-21,10:45,Motor-A,Chain elongation on drive chain,P. Gupta,3.2,Open,Escalated to OEM,Day,Compressor-2,Compressor-2
D27-009,2025-05-29,13:30,Pump-2,Coolant pump not starting,B. Reddy,0.8,Closed,Root cause: wear and tear,Day,Compressor-2,Compressor-2
D27-010,2025-05-22,12:00,Conveyor-Drive,Drive belt worn — replacement needed,P. Gupta,7.1,Closed,Root cause: wear and tear,Day,Compressor-2,Compressor-2
D27-011,2025-05-27,06:15,Motor-A,Torch height error — cutting machine,N. Das,2.3,Closed,Preventive maintenance scheduled,Day,Compressor-2,Compressor-2
D27-012,2025-05-16,14:45,Motor-A,Motor overheating — bearing failure,S. Kumar,0.9,Open,Repaired and tested OK,Day,Compressor-2,Compressor-2
D27-013,2025-05-19,07:15,PLC-Panel,Gear coupling worn — noise detected,B. Reddy,1.6,Closed,Spare part ordered — pending,Day,Compressor-2,Compressor-2
D27-014,2025-05-30,08:45,Motor-A,Drive belt worn — replacement needed,N. Das,0.8,Closed,Temporary fix applied,Day,Compressor-2,Compressor-2
D27-015,2025-05-31,08:00,Cylinder-Main,PLC fault code F-204 — sensor error,V. Joshi,5.1,Open,Spare part ordered — pending,Day,Compressor-2,Compressor-2
N27-001,2025-05-05,18:00,PLC-Panel,Lubrication system fault — low level,N. Das,2.2,Open,Resolved by operator adjustment,Night,Compressor-2,Compressor-2
N27-002,2025-05-21,23:45,Conveyor-Drive,PLC fault code F-204 — sensor error,N. Das,4.6,Closed,Root cause: wear and tear,Night,Compressor-2,Compressor-2
N27-003,2025-05-07,18:15,Conveyor-Drive,Conveyor belt slip / misalignment,P. Gupta,2.6,Open,Temporary fix applied,Night,Compressor-2,Compressor-2
N27-004,2025-05-09,20:15,PLC-Panel,Strip break at forming section,N. Das,0.8,Closed,Resolved by operator adjustment,Night,Compressor-2,Compressor-2
N27-005,2025-05-07,19:00,PLC-Panel,Conveyor belt slip / misalignment,R. Sharma,0.6,Open,Preventive maintenance scheduled,Night,Compressor-2,Compressor-2
N27-006,2025-05-18,23:45,Pump-1,Weld seam out of tolerance,M. Singh,5.3,Closed,Resolved by operator adjustment,Night,Compressor-2,Compressor-2
N27-007,2025-05-24,19:00,Pump-1,Electrical trip — overload relay,V. Joshi,5.1,Closed,Preventive maintenance scheduled,Night,Compressor-2,Compressor-2
N27-008,2025-05-20,21:00,Pump-2,Weld seam out of tolerance,P. Gupta,7.9,Open,Escalated to OEM,Night,Compressor-2,Compressor-2
N27-009,2025-05-04,22:15,PLC-Panel,Coating thickness alarm,A. Patel,2.6,Closed,Temporary fix applied,Night,Compressor-2,Compressor-2
N27-010,2025-05-10,21:45,Pump-1,Coolant pump not starting,R. Sharma,0.9,Closed,Root cause: wear and tear,Night,Compressor-2,Compressor-2
N27-011,2025-05-18,20:30,PLC-Panel,Motor overheating — bearing failure,P. Gupta,6.1,Open,Temporary fix applied,Night,Compressor-2,Compressor-2
N27-012,2025-05-26,18:45,Motor-B,Conveyor belt slip / misalignment,A. Patel,5.9,Closed,Escalated to OEM,Night,Compressor-2,Compressor-2
D28-001,2025-05-18,09:30,Pump-2,Coating thickness alarm,P. Gupta,2.9,Closed,Resolved by operator adjustment,Day,Hydraulic-Power-Unit,Hydraulic-Power-Unit
D28-002,2025-05-04,09:45,Pump-2,Conveyor belt slip / misalignment,V. Joshi,4.9,Closed,Resolved by operator adjustment,Day,Hydraulic-Power-Unit,Hydraulic-Power-Unit
D28-003,2025-05-27,09:45,Pump-1,Emergency stop triggered — unknown cause,S. Kumar,1.5,Closed,Escalated to OEM,Day,Hydraulic-Power-Unit,Hydraulic-Power-Unit
D28-004,2025-05-23,09:30,Pump-1,Motor overheating — bearing failure,N. Das,0.9,Closed,,Day,Hydraulic-Power-Unit,Hydraulic-Power-Unit
D28-005,2025-05-17,12:15,Conveyor-Drive,Strip break at forming section,K. Yadav,5.0,Open,Temporary fix applied,Day,Hydraulic-Power-Unit,Hydraulic-Power-Unit
D28-006,2025-05-13,14:15,Motor-B,Pipe OD out of spec — forming issue,B. Reddy,4.2,Open,,Day,Hydraulic-Power-Unit,Hydraulic-Power-Unit
D28-007,2025-05-05,13:30,Motor-A,Torch height error — cutting machine,D. Mehta,6.0,Closed,Escalated to OEM,Day,Hydraulic-Power-Unit,Hydraulic-Power-Unit
D28-008,2025-05-18,09:15,Motor-A,Pipe OD out of spec — forming issue,R. Sharma,0.8,Closed,Repaired and tested OK,Day,Hydraulic-Power-Unit,Hydraulic-Power-Unit
D28-009,2025-05-18,14:45,PLC-Panel,Electrical trip — overload relay,P. Gupta,3.9,Closed,Repaired and tested OK,Day,Hydraulic-Power-Unit,Hydraulic-Power-Unit
D28-010,2025-05-09,12:15,Pump-1,Control panel display blank,K. Yadav,2.3,Open,Repaired and tested OK,Day,Hydraulic-Power-Unit,Hydraulic-Power-Unit
D28-011,2025-05-16,10:15,PLC-Panel,Water leakage in cooling system,N. Das,0.7,Closed,Temporary fix applied,Day,Hydraulic-Power-Unit,Hydraulic-Power-Unit
D28-012,2025-05-04,12:15,Conveyor-Drive,Chain elongation on drive chain,V. Joshi,5.8,Closed,Spare part ordered — pending,Day,Hydraulic-Power-Unit,Hydraulic-Power-Unit
D28-013,2025-05-19,11:00,Cylinder-Main,Pipe OD out of spec — forming issue,K. Yadav,5.7,Closed,Root cause: wear and tear,Day,Hydraulic-Power-Unit,Hydraulic-Power-Unit
D28-014,2025-05-06,07:30,Motor-A,Encoder signal lost on servo axis,S. Kumar,7.2,Closed,Escalated to OEM,Day,Hydraulic-Power-Unit,Hydraulic-Power-Unit
D28-015,2025-05-17,06:30,Conveyor-Drive,Coolant pump not starting,B. Reddy,5.8,Closed,Root cause: wear and tear,Day,Hydraulic-Power-Unit,Hydraulic-Power-Unit
N28-001,2025-05-27,20:15,Motor-B,Chain elongation on drive chain,V. Joshi,6.0,Open,Root cause: wear and tear,Night,Hydraulic-Power-Unit,Hydraulic-Power-Unit
N28-002,2025-05-07,23:15,Conveyor-Drive,Control panel display blank,K. Yadav,4.3,Closed,Repaired and tested OK,Night,Hydraulic-Power-Unit,Hydraulic-Power-Unit
N28-003,2025-05-29,20:30,PLC-Panel,Drive belt worn — replacement needed,B. Reddy,4.5,Closed,Preventive maintenance scheduled,Night,Hydraulic-Power-Unit,Hydraulic-Power-Unit
N28-004,2025-05-17,22:30,Motor-B,Weld seam out of tolerance,V. Joshi,1.2,Closed,Temporary fix applied,Night,Hydraulic-Power-Unit,Hydraulic-Power-Unit
N28-005,2025-05-22,18:00,Pump-1,Vibration high on spindle motor,P. Gupta,5.7,Closed,Root cause: wear and tear,Night,Hydraulic-Power-Unit,Hydraulic-Power-Unit
N28-006,2025-05-15,23:00,Cylinder-Main,Pipe OD out of spec — forming issue,B. Reddy,7.5,Closed,Resolved by operator adjustment,Night,Hydraulic-Power-Unit,Hydraulic-Power-Unit
N28-007,2025-05-17,23:00,Cylinder-Main,Weld seam out of tolerance,P. Gupta,0.7,Open,Escalated to OEM,Night,Hydraulic-Power-Unit,Hydraulic-Power-Unit
N28-008,2025-05-18,22:30,Conveyor-Drive,Drive belt worn — replacement needed,N. Das,5.5,Closed,,Night,Hydraulic-Power-Unit,Hydraulic-Power-Unit
N28-009,2025-05-17,20:15,Cylinder-Main,Coolant pump not starting,K. Yadav,2.2,Closed,Preventive maintenance scheduled,Night,Hydraulic-Power-Unit,Hydraulic-Power-Unit
N28-010,2025-05-07,18:15,Conveyor-Drive,Oil contamination in gearbox,V. Joshi,7.7,Closed,Temporary fix applied,Night,Hydraulic-Power-Unit,Hydraulic-Power-Unit
N28-011,2025-05-09,22:30,Pump-1,Coolant pump not starting,M. Singh,1.7,Closed,Escalated to OEM,Night,Hydraulic-Power-Unit,Hydraulic-Power-Unit
N28-012,2025-05-13,19:45,Cylinder-Main,Control panel display blank,M. Singh,2.0,Closed,Escalated to OEM,Night,Hydraulic-Power-Unit,Hydraulic-Power-Unit
D29-001,2025-05-20,08:30,PLC-Panel,Air compressor pressure low,M. Singh,4.5,Closed,Repaired and tested OK,Day,Electrical-Panel-MCC,Electrical-Panel-MCC
D29-002,2025-05-19,13:15,PLC-Panel,Limit switch failure — door interlock,M. Singh,0.5,Closed,Escalated to OEM,Day,Electrical-Panel-MCC,Electrical-Panel-MCC
D29-003,2025-05-11,10:45,Cylinder-Main,Coating thickness alarm,N. Das,5.5,Open,,Day,Electrical-Panel-MCC,Electrical-Panel-MCC
D29-004,2025-05-21,07:45,Motor-A,Pneumatic pressure drop in actuator,B. Reddy,1.4,Closed,Root cause: wear and tear,Day,Electrical-Panel-MCC,Electrical-Panel-MCC
D29-005,2025-05-17,11:00,Conveyor-Drive,Motor overheating — bearing failure,N. Das,5.3,Closed,Root cause: wear and tear,Day,Electrical-Panel-MCC,Electrical-Panel-MCC
D29-006,2025-05-06,10:15,Motor-A,Conveyor belt slip / misalignment,B. Reddy,6.9,Closed,Spare part ordered — pending,Day,Electrical-Panel-MCC,Electrical-Panel-MCC
D29-007,2025-05-15,12:15,PLC-Panel,Limit switch failure — door interlock,N. Das,5.0,Open,Escalated to OEM,Day,Electrical-Panel-MCC,Electrical-Panel-MCC
D29-008,2025-05-19,08:45,Conveyor-Drive,Emergency stop triggered — unknown cause,S. Kumar,0.6,Closed,Preventive maintenance scheduled,Day,Electrical-Panel-MCC,Electrical-Panel-MCC
D29-009,2025-05-17,14:00,Pump-2,Torch height error — cutting machine,V. Joshi,6.1,Closed,,Day,Electrical-Panel-MCC,Electrical-Panel-MCC
D29-010,2025-05-22,08:45,Gearbox,Pneumatic pressure drop in actuator,N. Das,5.0,Closed,Preventive maintenance scheduled,Day,Electrical-Panel-MCC,Electrical-Panel-MCC
D29-011,2025-05-16,14:30,Motor-B,Water leakage in cooling system,D. Mehta,1.2,Closed,Preventive maintenance scheduled,Day,Electrical-Panel-MCC,Electrical-Panel-MCC
D29-012,2025-05-18,08:45,Pump-1,Weld seam out of tolerance,M. Singh,6.7,Closed,,Day,Electrical-Panel-MCC,Electrical-Panel-MCC
D29-013,2025-05-30,10:30,PLC-Panel,Air compressor pressure low,V. Joshi,2.2,Open,Temporary fix applied,Day,Electrical-Panel-MCC,Electrical-Panel-MCC
D29-014,2025-05-23,10:45,Motor-B,Chain elongation on drive chain,K. Yadav,3.6,Closed,Root cause: wear and tear,Day,Electrical-Panel-MCC,Electrical-Panel-MCC
D29-015,2025-05-31,07:30,PLC-Panel,Conveyor belt slip / misalignment,N. Das,6.1,Closed,Resolved by operator adjustment,Day,Electrical-Panel-MCC,Electrical-Panel-MCC
N29-001,2025-05-04,20:45,Motor-B,Control panel display blank,B. Reddy,6.0,Closed,Preventive maintenance scheduled,Night,Electrical-Panel-MCC,Electrical-Panel-MCC
N29-002,2025-05-26,22:00,Pump-1,Limit switch failure — door interlock,V. Joshi,7.1,Closed,Temporary fix applied,Night,Electrical-Panel-MCC,Electrical-Panel-MCC
N29-003,2025-05-30,20:30,Gearbox,Chain elongation on drive chain,S. Kumar,0.9,Closed,Spare part ordered — pending,Night,Electrical-Panel-MCC,Electrical-Panel-MCC
N29-004,2025-05-15,19:15,Motor-B,Lubrication system fault — low level,M. Singh,4.6,Open,Preventive maintenance scheduled,Night,Electrical-Panel-MCC,Electrical-Panel-MCC
N29-005,2025-05-23,23:30,Motor-B,Air compressor pressure low,N. Das,3.1,Closed,Temporary fix applied,Night,Electrical-Panel-MCC,Electrical-Panel-MCC
N29-006,2025-05-15,20:30,PLC-Panel,Pipe OD out of spec — forming issue,S. Kumar,7.4,Closed,Root cause: wear and tear,Night,Electrical-Panel-MCC,Electrical-Panel-MCC
N29-007,2025-05-27,22:15,Pump-2,Air compressor pressure low,N. Das,5.7,Open,Spare part ordered — pending,Night,Electrical-Panel-MCC,Electrical-Panel-MCC
N29-008,2025-05-18,21:00,Motor-B,Pneumatic pressure drop in actuator,R. Sharma,4.1,Closed,Escalated to OEM,Night,Electrical-Panel-MCC,Electrical-Panel-MCC
N29-009,2025-05-27,21:30,Pump-1,Electrical trip — overload relay,K. Yadav,0.7,Open,Root cause: wear and tear,Night,Electrical-Panel-MCC,Electrical-Panel-MCC
N29-010,2025-05-27,23:15,Pump-2,Oil contamination in gearbox,M. Singh,2.1,Open,Resolved by operator adjustment,Night,Electrical-Panel-MCC,Electrical-Panel-MCC
N29-011,2025-05-09,18:00,Motor-A,Coating thickness alarm,V. Joshi,6.2,Closed,Spare part ordered — pending,Night,Electrical-Panel-MCC,Electrical-Panel-MCC
N29-012,2025-05-30,23:00,PLC-Panel,PLC fault code F-204 — sensor error,K. Yadav,0.8,Closed,Repaired and tested OK,Night,Electrical-Panel-MCC,Electrical-Panel-MCC
D30-001,2025-05-07,07:00,Pump-2,Water leakage in cooling system,A. Patel,1.9,Closed,Spare part ordered — pending,Day,Cooling-Tower,Cooling-Tower
D30-002,2025-05-27,10:30,Conveyor-Drive,Coolant pump not starting,B. Reddy,6.4,Closed,Spare part ordered — pending,Day,Cooling-Tower,Cooling-Tower
D30-003,2025-05-28,06:15,Pump-2,Oil contamination in gearbox,M. Singh,7.3,Closed,Spare part ordered — pending,Day,Cooling-Tower,Cooling-Tower
D30-004,2025-05-02,09:45,Conveyor-Drive,Electrical trip — overload relay,N. Das,1.9,Closed,Spare part ordered — pending,Day,Cooling-Tower,Cooling-Tower
D30-005,2025-05-26,11:45,Gearbox,Weld seam out of tolerance,B. Reddy,2.2,Closed,Escalated to OEM,Day,Cooling-Tower,Cooling-Tower
D30-006,2025-05-28,13:00,Pump-1,Drive belt worn — replacement needed,S. Kumar,5.8,Closed,Repaired and tested OK,Day,Cooling-Tower,Cooling-Tower
D30-007,2025-05-29,11:45,Motor-B,Emergency stop triggered — unknown cause,K. Yadav,3.9,Closed,,Day,Cooling-Tower,Cooling-Tower
D30-008,2025-05-24,14:45,Cylinder-Main,Pipe OD out of spec — forming issue,A. Patel,6.9,Open,,Day,Cooling-Tower,Cooling-Tower
D30-009,2025-05-10,11:15,Motor-A,Gear coupling worn — noise detected,V. Joshi,5.5,Closed,Spare part ordered — pending,Day,Cooling-Tower,Cooling-Tower
D30-010,2025-05-28,08:45,Gearbox,Electrical trip — overload relay,N. Das,7.8,Closed,Temporary fix applied,Day,Cooling-Tower,Cooling-Tower
D30-011,2025-05-29,11:15,Conveyor-Drive,Weld seam out of tolerance,N. Das,6.8,Closed,Root cause: wear and tear,Day,Cooling-Tower,Cooling-Tower
D30-012,2025-05-05,12:45,Cylinder-Main,Coating thickness alarm,N. Das,5.0,Open,Resolved by operator adjustment,Day,Cooling-Tower,Cooling-Tower
D30-013,2025-05-20,13:45,PLC-Panel,Encoder signal lost on servo axis,K. Yadav,1.6,Closed,Spare part ordered — pending,Day,Cooling-Tower,Cooling-Tower
D30-014,2025-05-23,13:45,Pump-2,Chain elongation on drive chain,M. Singh,0.7,Closed,Spare part ordered — pending,Day,Cooling-Tower,Cooling-Tower
D30-015,2025-05-16,06:15,Gearbox,Lubrication system fault — low level,S. Kumar,1.6,Closed,Spare part ordered — pending,Day,Cooling-Tower,Cooling-Tower
N30-001,2025-05-07,18:45,PLC-Panel,Weld seam out of tolerance,K. Yadav,5.5,Closed,Preventive maintenance scheduled,Night,Cooling-Tower,Cooling-Tower
N30-002,2025-05-14,20:00,Motor-A,Pipe OD out of spec — forming issue,P. Gupta,3.4,Closed,Resolved by operator adjustment,Night,Cooling-Tower,Cooling-Tower
N30-003,2025-05-17,21:00,Motor-A,Coolant pump not starting,B. Reddy,5.4,Open,Temporary fix applied,Night,Cooling-Tower,Cooling-Tower
N30-004,2025-05-16,21:15,Cylinder-Main,Electrical trip — overload relay,D. Mehta,4.2,Closed,,Night,Cooling-Tower,Cooling-Tower
N30-005,2025-05-10,22:45,PLC-Panel,Air compressor pressure low,M. Singh,4.3,Closed,,Night,Cooling-Tower,Cooling-Tower
N30-006,2025-05-13,21:30,Cylinder-Main,Limit switch failure — door interlock,R. Sharma,0.7,Closed,Escalated to OEM,Night,Cooling-Tower,Cooling-Tower
N30-007,2025-05-20,23:00,Conveyor-Drive,Emergency stop triggered — unknown cause,P. Gupta,3.7,Open,Resolved by operator adjustment,Night,Cooling-Tower,Cooling-Tower
N30-008,2025-05-20,18:15,Pump-2,Strip break at forming section,K. Yadav,4.9,Open,Spare part ordered — pending,Night,Cooling-Tower,Cooling-Tower
N30-009,2025-05-04,20:00,Conveyor-Drive,Coolant pump not starting,R. Sharma,4.5,Closed,Resolved by operator adjustment,Night,Cooling-Tower,Cooling-Tower
N30-010,2025-05-13,22:45,Cylinder-Main,Hydraulic leak in main cylinder,V. Joshi,4.9,Open,Resolved by operator adjustment,Night,Cooling-Tower,Cooling-Tower
N30-011,2025-05-13,21:30,Motor-B,Drive belt worn — replacement needed,P. Gupta,5.7,Closed,,Night,Cooling-Tower,Cooling-Tower
N30-012,2025-05-15,23:30,Pump-1,Lubrication system fault — low level,K. Yadav,3.2,Closed,,Night,Cooling-Tower,Cooling-Tower
D31-001,2025-05-11,07:15,Cylinder-Main,Vibration high on spindle motor,R. Sharma,2.7,Closed,Root cause: wear and tear,Day,Crane-Bay-1,Crane-Bay-1
D31-002,2025-05-12,07:00,Conveyor-Drive,Vibration high on spindle motor,P. Gupta,4.7,Closed,Resolved by operator adjustment,Day,Crane-Bay-1,Crane-Bay-1
D31-003,2025-05-25,11:00,Cylinder-Main,Encoder signal lost on servo axis,K. Yadav,3.7,Closed,Root cause: wear and tear,Day,Crane-Bay-1,Crane-Bay-1
D31-004,2025-05-18,12:30,PLC-Panel,Gear coupling worn — noise detected,B. Reddy,1.9,Closed,Temporary fix applied,Day,Crane-Bay-1,Crane-Bay-1
D31-005,2025-05-13,13:15,PLC-Panel,Vibration high on spindle motor,B. Reddy,6.6,Open,Resolved by operator adjustment,Day,Crane-Bay-1,Crane-Bay-1
D31-006,2025-05-02,06:15,Conveyor-Drive,Hydraulic valve stuck open,M. Singh,2.3,Closed,Preventive maintenance scheduled,Day,Crane-Bay-1,Crane-Bay-1
D31-007,2025-05-04,12:45,Conveyor-Drive,Conveyor belt slip / misalignment,A. Patel,6.8,Closed,Preventive maintenance scheduled,Day,Crane-Bay-1,Crane-Bay-1
D31-008,2025-05-11,08:30,Pump-2,Emergency stop triggered — unknown cause,A. Patel,1.4,Closed,Root cause: wear and tear,Day,Crane-Bay-1,Crane-Bay-1
D31-009,2025-05-06,10:45,PLC-Panel,Air compressor pressure low,D. Mehta,3.7,Open,Root cause: wear and tear,Day,Crane-Bay-1,Crane-Bay-1
D31-010,2025-05-26,10:15,Motor-A,Vibration high on spindle motor,K. Yadav,5.4,Closed,Repaired and tested OK,Day,Crane-Bay-1,Crane-Bay-1
D31-011,2025-05-08,13:00,Motor-A,Conveyor belt slip / misalignment,S. Kumar,5.0,Open,Resolved by operator adjustment,Day,Crane-Bay-1,Crane-Bay-1
D31-012,2025-05-03,11:00,Gearbox,Torch height error — cutting machine,M. Singh,2.3,Closed,Spare part ordered — pending,Day,Crane-Bay-1,Crane-Bay-1
D31-013,2025-05-15,14:30,PLC-Panel,Conveyor belt slip / misalignment,A. Patel,5.0,Open,Escalated to OEM,Day,Crane-Bay-1,Crane-Bay-1
D31-014,2025-05-21,12:15,Gearbox,Weld seam out of tolerance,M. Singh,1.3,Closed,Preventive maintenance scheduled,Day,Crane-Bay-1,Crane-Bay-1
D31-015,2025-05-17,12:30,Motor-A,Drive belt worn — replacement needed,B. Reddy,3.3,Open,Escalated to OEM,Day,Crane-Bay-1,Crane-Bay-1
N31-001,2025-05-14,21:45,Pump-2,Vibration high on spindle motor,M. Singh,3.2,Closed,Preventive maintenance scheduled,Night,Crane-Bay-1,Crane-Bay-1
N31-002,2025-05-31,23:00,Motor-A,Electrical trip — overload relay,A. Patel,2.4,Closed,Escalated to OEM,Night,Crane-Bay-1,Crane-Bay-1
N31-003,2025-05-03,23:00,Pump-2,Hydraulic valve stuck open,D. Mehta,0.6,Open,Preventive maintenance scheduled,Night,Crane-Bay-1,Crane-Bay-1
N31-004,2025-05-22,18:15,Cylinder-Main,Weld seam out of tolerance,M. Singh,7.4,Closed,Resolved by operator adjustment,Night,Crane-Bay-1,Crane-Bay-1
N31-005,2025-05-06,18:30,Motor-B,Coating thickness alarm,V. Joshi,4.0,Closed,Escalated to OEM,Night,Crane-Bay-1,Crane-Bay-1
N31-006,2025-05-09,21:00,Pump-1,Electrical trip — overload relay,K. Yadav,4.3,Closed,Escalated to OEM,Night,Crane-Bay-1,Crane-Bay-1
N31-007,2025-05-17,23:00,Motor-A,Chain elongation on drive chain,M. Singh,5.2,Open,Temporary fix applied,Night,Crane-Bay-1,Crane-Bay-1
N31-008,2025-05-31,21:15,Cylinder-Main,Limit switch failure — door interlock,N. Das,1.1,Closed,Temporary fix applied,Night,Crane-Bay-1,Crane-Bay-1
N31-009,2025-05-04,22:45,Conveyor-Drive,Hydraulic valve stuck open,V. Joshi,7.1,Closed,Temporary fix applied,Night,Crane-Bay-1,Crane-Bay-1
N31-010,2025-05-10,22:30,Cylinder-Main,Weld seam out of tolerance,P. Gupta,3.6,Closed,Resolved by operator adjustment,Night,Crane-Bay-1,Crane-Bay-1
N31-011,2025-05-05,22:15,Motor-A,Hydraulic leak in main cylinder,B. Reddy,5.4,Closed,Spare part ordered — pending,Night,Crane-Bay-1,Crane-Bay-1
N31-012,2025-05-17,19:30,Pump-1,Motor overheating — bearing failure,D. Mehta,5.1,Closed,Temporary fix applied,Night,Crane-Bay-1,Crane-Bay-1
